period,social_class,surname_type,surname,gender,name_category,name,meaning,frequency,generation_preference
南北朝,门阀士族,五姓七望,王,男,文雅,明兆,光明德行,high,all
南北朝,门阀士族,五姓七望,王,男,文雅,齐夏,文采华美,high,all
南北朝,门阀士族,五姓七望,王,男,文雅,道远,志向远大,medium,adult
南北朝,门阀士族,五姓七望,王,男,品德,仁煦,仁慈厚道,high,elder
南北朝,门阀士族,五姓七望,王,男,文雅,敬之,志向远大,medium,all
南北朝,门阀士族,五姓七望,王,女,美德,淑佶,淑女智慧,high,all
南北朝,门阀士族,五姓七望,王,女,美德,成虞,温婉仪态,high,all
南北朝,门阀士族,五姓七望,王,女,美德,逍儿,清秀雅致,medium,adult
南北朝,门阀士族,五姓七望,崔,女,才华,文姬,文才女子,medium,adult
南北朝,门阀士族,五姓七望,崔,男,文雅,文贤,文雅贤明,high,all
南北朝,门阀士族,五姓七望,崔,男,品德,德越,德行深厚,high,elder
南北朝,门阀士族,五姓七望,崔,女,美德,熙怡,淑女品德,high,all
南北朝,门阀士族,五姓七望,崔,男,武勇,昶之,建立功业,medium,adult
南北朝,门阀士族,五姓七望,崔,男,武勇,威奕,威风武勇,medium,adult
南北朝,门阀士族,五姓七望,卢,男,文雅,文达,文通达理,high,all
南北朝,门阀士族,五姓七望,卢,男,品德,仁达,仁爱通达,high,elder
南北朝,门阀士族,五姓七望,卢,女,美德,岚月,温婉有德,high,all
南北朝,门阀士族,五姓七望,卢,男,文雅,思远,文雅贵重,high,all
南北朝,门阀士族,五姓七望,卢,女,美德,淑贵,淑德贵重,high,all
南北朝,门阀士族,五姓七望,郑,男,文雅,禧之,文雅正直,high,all
南北朝,门阀士族,五姓七望,郑,女,美德,孝娘,淑德正直,high,all
南北朝,门阀士族,五姓七望,郑,男,文雅,景安,淑德正直,high,all
南北朝,门阀士族,五姓七望,郑,女,美德,静姝,淑德正直,high,all
南北朝,门阀士族,五姓七望,郑,男,文雅,弼成,淑德正直,high,all
南北朝,门阀士族,五姓七望,裴,女,美德,婉仪,淑德正直,high,all
南北朝,门阀士族,五姓七望,裴,男,文雅,景业,淑德正直,high,all
南北朝,门阀士族,五姓七望,裴,女,美德,宣女,淑德正直,high,all
南北朝,门阀士族,五姓七望,裴,男,文雅,松之,淑德正直,high,all
南北朝,门阀士族,五姓七望,谢,男,文雅,弘道,仁慈厚道,medium,all
南北朝,门阀士族,五姓七望,谢,男,文雅,文彦,文雅英彦,high,all
南北朝,门阀士族,五姓七望,谢,男,武勇,建章,建立文章,medium,adult
南北朝,门阀士族,五姓七望,谢,女,文雅,若华,清秀雅致,medium,all
南北朝,门阀士族,五姓七望,谢,女,文雅,静婉,温婉仪态,medium,all
南北朝,门阀士族,五姓七望,谢,女,美德,婉清,温婉清雅,high,all
